id,node1,node2,node_size,link_strength,node_category,detail
1,1,13,5,1,2,"Person Id: 1; Gender: Female; Age: 21; Race: Asian/Pacific Islander/Asian-American; Field of Study: Law; Career: UnknownHobby: movies,concerts"
2,1,14,5,0.7,2,"Person Id: 1; Gender: Female; Age: 21; Race: Asian/Pacific Islander/Asian-American; Field of Study: Law; Career: UnknownHobby: movies,concerts"
3,1,15,5,0.8,2,"Person Id: 1; Gender: Female; Age: 21; Race: Asian/Pacific Islander/Asian-American; Field of Study: Law; Career: UnknownHobby: movies,concerts"
4,1,19,5,0.65,2,"Person Id: 1; Gender: Female; Age: 21; Race: Asian/Pacific Islander/Asian-American; Field of Study: Law; Career: UnknownHobby: movies,concerts"
5,2,14,3,0.9,4,"Person Id: 2; Gender: Female; Age: 24; Race: European/Caucasian-American; Field of Study: Law; Career: UnknownHobby: dining,reading"
6,2,19,3,0.8,4,"Person Id: 2; Gender: Female; Age: 24; Race: European/Caucasian-American; Field of Study: Law; Career: UnknownHobby: dining,reading"
7,4,14,3,0.8,4,Person Id: 4; Gender: Female; Age: 23; Race: European/Caucasian-American; Field of Study: Law; Career: LawyerHobby: NA
8,4,19,3,0.8,4,Person Id: 4; Gender: Female; Age: 23; Race: European/Caucasian-American; Field of Study: Law; Career: LawyerHobby: NA
9,5,14,3,0.7,4,Person Id: 5; Gender: Female; Age: 21; Race: European/Caucasian-American; Field of Study: Law; Career: LawyerHobby: NA
10,5,19,3,0.7,4,Person Id: 5; Gender: Female; Age: 21; Race: European/Caucasian-American; Field of Study: Law; Career: LawyerHobby: NA
11,6,14,3,0.7,2,Person Id: 6; Gender: Female; Age: 23; Race: Asian/Pacific Islander/Asian-American; Field of Study: Law; Career: LawyerHobby: sports
12,6,19,3,0.6,2,Person Id: 6; Gender: Female; Age: 23; Race: Asian/Pacific Islander/Asian-American; Field of Study: Law; Career: LawyerHobby: sports
13,7,14,3,0.8,2,"Person Id: 7; Gender: Female; Age: 22; Race: Asian/Pacific Islander/Asian-American; Field of Study: Law; Career: LawyerHobby: dining,museums,art,theater,movies,concerts,music,shopping,yoga"
14,7,19,3,0.9,2,"Person Id: 7; Gender: Female; Age: 22; Race: Asian/Pacific Islander/Asian-American; Field of Study: Law; Career: LawyerHobby: dining,museums,art,theater,movies,concerts,music,shopping,yoga"
15,8,12,9,0.9,4,"Person Id: 8; Gender: Female; Age: 25; Race: European/Caucasian-American; Field of Study: Political Science/International Affairs; Career: Creative Arts/EntertainmentHobby: dining,clubbing,tv"
16,8,13,9,1,4,"Person Id: 8; Gender: Female; Age: 25; Race: European/Caucasian-American; Field of Study: Political Science/International Affairs; Career: Creative Arts/EntertainmentHobby: dining,clubbing,tv"
17,8,14,9,0.8,4,"Person Id: 8; Gender: Female; Age: 25; Race: European/Caucasian-American; Field of Study: Political Science/International Affairs; Career: Creative Arts/EntertainmentHobby: dining,clubbing,tv"
18,8,15,9,0.9,4,"Person Id: 8; Gender: Female; Age: 25; Race: European/Caucasian-American; Field of Study: Political Science/International Affairs; Career: Creative Arts/EntertainmentHobby: dining,clubbing,tv"
